N=360: 10800 states, 7646970 moves
t=  1 (theta=   0.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  2 (theta=   1.000 deg): ALL WIN  win=10800/10800 rounds=9
t=  3 (theta=   1.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  4 (theta=   2.000 deg): ALL WIN  win=10800/10800 rounds=8
t=  5 (theta=   2.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  6 (theta=   3.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  7 (theta=   3.500 deg): losesome win=3901/10800 rounds=7  #lose=6899 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 8, 351)]
t=  8 (theta=   4.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  9 (theta=   4.500 deg): ALL WIN  win=10800/10800 rounds=7
t= 10 (theta=   5.000 deg): ALL WIN  win=10800/10800 rounds=7
t=287 (theta= 143.500 deg): losesome win=36/10800 rounds=1  #lose=10764 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=288 (theta= 144.000 deg): losesome win=36/10800 rounds=1  #lose=10764 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=289 (theta= 144.500 deg): losesome win=35/10800 rounds=1  #lose=10765 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=290 (theta= 145.000 deg): losesome win=35/10800 rounds=1  #lose=10765 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=291 (theta= 145.500 deg): losesome win=34/10800 rounds=1  #lose=10766 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=292 (theta= 146.000 deg): losesome win=34/10800 rounds=1  #lose=10766 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=293 (theta= 146.500 deg): losesome win=33/10800 rounds=1  #lose=10767 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=294 (theta= 147.000 deg): losesome win=33/10800 rounds=1  #lose=10767 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=295 (theta= 147.500 deg): losesome win=32/10800 rounds=1  #lose=10768 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=296 (theta= 148.000 deg): losesome win=32/10800 rounds=1  #lose=10768 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=297 (theta= 148.500 deg): losesome win=31/10800 rounds=1  #lose=10769 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=298 (theta= 149.000 deg): losesome win=31/10800 rounds=1  #lose=10769 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=299 (theta= 149.500 deg): losesome win=30/10800 rounds=1  #lose=10770 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=300 (theta= 150.000 deg): losesome win=30/10800 rounds=1  #lose=10770 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=301 (theta= 150.500 deg): losesome win=29/10800 rounds=1  #lose=10771 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=302 (theta= 151.000 deg): losesome win=29/10800 rounds=1  #lose=10771 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=303 (theta= 151.500 deg): losesome win=28/10800 rounds=1  #lose=10772 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=304 (theta= 152.000 deg): losesome win=28/10800 rounds=1  #lose=10772 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=305 (theta= 152.500 deg): losesome win=27/10800 rounds=1  #lose=10773 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=306 (theta= 153.000 deg): losesome win=27/10800 rounds=1  #lose=10773 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=307 (theta= 153.500 deg): losesome win=26/10800 rounds=1  #lose=10774 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=308 (theta= 154.000 deg): losesome win=26/10800 rounds=1  #lose=10774 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=309 (theta= 154.500 deg): losesome win=25/10800 rounds=1  #lose=10775 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=310 (theta= 155.000 deg): losesome win=25/10800 rounds=1  #lose=10775 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=311 (theta= 155.500 deg): losesome win=24/10800 rounds=1  #lose=10776 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=312 (theta= 156.000 deg): losesome win=24/10800 rounds=1  #lose=10776 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=313 (theta= 156.500 deg): losesome win=23/10800 rounds=1  #lose=10777 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=314 (theta= 157.000 deg): losesome win=23/10800 rounds=1  #lose=10777 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=315 (theta= 157.500 deg): losesome win=22/10800 rounds=1  #lose=10778 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=316 (theta= 158.000 deg): losesome win=22/10800 rounds=1  #lose=10778 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=317 (theta= 158.500 deg): losesome win=21/10800 rounds=1  #lose=10779 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=318 (theta= 159.000 deg): losesome win=21/10800 rounds=1  #lose=10779 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=319 (theta= 159.500 deg): losesome win=20/10800 rounds=1  #lose=10780 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=320 (theta= 160.000 deg): losesome win=20/10800 rounds=1  #lose=10780 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=321 (theta= 160.500 deg): losesome win=19/10800 rounds=1  #lose=10781 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=322 (theta= 161.000 deg): losesome win=19/10800 rounds=1  #lose=10781 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=323 (theta= 161.500 deg): losesome win=18/10800 rounds=1  #lose=10782 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=324 (theta= 162.000 deg): losesome win=18/10800 rounds=1  #lose=10782 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=325 (theta= 162.500 deg): losesome win=17/10800 rounds=1  #lose=10783 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=326 (theta= 163.000 deg): losesome win=17/10800 rounds=1  #lose=10783 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=327 (theta= 163.500 deg): losesome win=16/10800 rounds=1  #lose=10784 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=328 (theta= 164.000 deg): losesome win=16/10800 rounds=1  #lose=10784 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=329 (theta= 164.500 deg): losesome win=15/10800 rounds=1  #lose=10785 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=330 (theta= 165.000 deg): losesome win=15/10800 rounds=1  #lose=10785 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=331 (theta= 165.500 deg): losesome win=14/10800 rounds=1  #lose=10786 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=332 (theta= 166.000 deg): losesome win=14/10800 rounds=1  #lose=10786 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=333 (theta= 166.500 deg): losesome win=13/10800 rounds=1  #lose=10787 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=334 (theta= 167.000 deg): losesome win=13/10800 rounds=1  #lose=10787 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=335 (theta= 167.500 deg): losesome win=12/10800 rounds=1  #lose=10788 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=336 (theta= 168.000 deg): losesome win=12/10800 rounds=1  #lose=10788 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=337 (theta= 168.500 deg): losesome win=11/10800 rounds=1  #lose=10789 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=338 (theta= 169.000 deg): losesome win=11/10800 rounds=1  #lose=10789 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=339 (theta= 169.500 deg): losesome win=10/10800 rounds=1  #lose=10790 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=340 (theta= 170.000 deg): losesome win=10/10800 rounds=1  #lose=10790 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=341 (theta= 170.500 deg): losesome win=9/10800 rounds=1  #lose=10791 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=342 (theta= 171.000 deg): losesome win=9/10800 rounds=1  #lose=10791 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=343 (theta= 171.500 deg): losesome win=8/10800 rounds=1  #lose=10792 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=344 (theta= 172.000 deg): losesome win=8/10800 rounds=1  #lose=10792 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=345 (theta= 172.500 deg): losesome win=7/10800 rounds=1  #lose=10793 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=346 (theta= 173.000 deg): losesome win=7/10800 rounds=1  #lose=10793 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=347 (theta= 173.500 deg): losesome win=6/10800 rounds=1  #lose=10794 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=348 (theta= 174.000 deg): losesome win=6/10800 rounds=1  #lose=10794 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=349 (theta= 174.500 deg): losesome win=5/10800 rounds=1  #lose=10795 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=350 (theta= 175.000 deg): losesome win=5/10800 rounds=1  #lose=10795 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=351 (theta= 175.500 deg): losesome win=4/10800 rounds=1  #lose=10796 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=352 (theta= 176.000 deg): losesome win=4/10800 rounds=1  #lose=10796 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=353 (theta= 176.500 deg): losesome win=3/10800 rounds=1  #lose=10797 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 7, 352)]
t=354 (theta= 177.000 deg): losesome win=3/10800 rounds=1  #lose=10797 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 6, 353), (1, 7, 352)]
t=355 (theta= 177.500 deg): losesome win=2/10800 rounds=1  #lose=10798 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=356 (theta= 178.000 deg): losesome win=2/10800 rounds=1  #lose=10798 ex=[(1, 1, 358), (1, 2, 357), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=357 (theta= 178.500 deg): losesome win=1/10800 rounds=1  #lose=10799 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=358 (theta= 179.000 deg): losesome win=1/10800 rounds=1  #lose=10799 ex=[(1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=359 (theta= 179.500 deg): losesome win=0/10800 rounds=1  #lose=10800 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
